588,燃起來！哆啦美的滑冰特訓,動畫原創
589,時光機不見了！！,第22卷第11話
590,毛皮環,動畫原創
591,耶誕節閃閃大作戰,動畫原創
592,榮光之門,動畫原創
593,拍馬屁大白鯊,動畫原創
594,雪山的羅曼史,第20卷第18話
595,好房子 壞房子,第31卷第7話
596,〇△□恐懼症,第27卷第15話
597,逃離地球計畫,P2卷第9話
598,禁語馬克筆,動畫原創
599,動物變身報恩藥水,第35卷第12話
600,雪人來到鎮上了,動畫原創
601,請吃大雄巧克力,動畫原創
602,藍色月夜下的演唱會,動畫原創
603,見想見的人的回轉壽司,動畫原創
604,用複製頭腦輕鬆一下吧,第43卷第5話
2013年劇場版,大雄的秘密道具博物館,大長篇第30篇
605,福貧組合,第20卷第2話
606,一步步向月球進發,第26卷第14話
607,馬竹牧場,動畫原創
608,用爆醃鹹菜準備考試,大山版1262
609,空地的海豚,動畫原創
610,用時光槍清除“干擾物”,P2卷第21話
611,做石器時代的國王,第7卷第11話
612,抓住鯉魚旗！,C6卷第9話
613,來做任意門吧,動畫原創
614,仙鶴啊、來報恩吧！,動畫原創
615,大雄鐵路,動畫原創
616,用物體變換槍把皮包變河馬！？,第38卷第6話
617,什、什麼！！ 大雄得了一百分,第25卷第6話
618,珍加羅山的寶藏,第15卷第3話
619,豪華燈,第16卷第6話
620,大雄的100分 25年後的大事件,第26卷第18話
621,大雄的炸蝦,動畫原創
622,幫幫我！援助船,動畫原創
623,爸爸也愛撒嬌,第16卷第19話
624,胖虎的歌演生日,動畫原創
625,大雄十一人,動畫原創
626,物物交換機,動畫原創
627,後山的哆啦A夢城,動畫原創
628,“真實之旗”永遠是正確的,第26卷第3話
629,魚類變身遊艇,動畫原創
630,流行性萬用病毒,第6卷第2話
631,鬼故事燈,第2卷第3話
632,萬能機場,第32卷第9話
633,龍宮城的八天,第25卷第13話
634,石頭帽子,第4卷第16話
635,大雄的新娘,第6卷第17話
636,在迷你房屋度過的夏天,第21卷第8話
637,正能量圈,動畫原創
638,地底100英里小型大作戰,動畫原創
639,靜香變成河童了！？,動畫原創
640,指路天使,第3卷第9話
641,歡迎乘坐大雄航空,第28卷第13話
642,神仙遊戲,第36卷第12話
643,22世紀超棒的郊遊,大全集第10卷第30話
644,可擕式國會,第15卷第17話
645,怒氣爆米花,動畫原創
646,狸貓機,第7卷第16話
647,萬聖節的暴走南瓜,動畫原創
648,吹牛皮的祖先,第14卷第8話
649,飛天的漫畫書,第40卷第17話
650,讓別人來背黑鍋吧！,動畫原創
651,肌肉發達黏土,大全集第10卷第51話
652,用暴風擊敗你,第40卷第10話
653,落葉和小珠,動畫原創
654,扮成靜香的大雄,第40卷第9話
655,悟空克隆發液,第37卷第17話
656,不要錢的世界,第13卷第4話
657,哆啦美誕生的那天,動畫原創
658,用回收螞蟻來回收,動畫原創
659,拍馬屁口紅,第1卷第10話
660,看家招牌,第28卷第12話
661,分享口香糖,第11卷第9話
